Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,22.69811320754717,-14.465174,-0.9515366430260047,-0.9515366430260047,1.0
20000,1.4189383,21.68337129840547,-14.747444,-0.9476082004555809,-0.9476082004555809,1.0
30000,1.4189383,22.150462962962962,-14.829627,-0.9479166666666666,-0.9479166666666666,1.0
40000,1.4189383,22.428571428571427,-14.860847,-0.9578454332552693,-0.9578454332552693,1.0
50000,1.4189383,22.6061320754717,-14.674542,-0.9541176470588235,-0.9541176470588235,1.0
60000,1.4189383,22.427230046948356,-14.464803,-0.931924882629108,-0.931924882629108,1.0
70000,1.4189383,22.80047505938242,-14.424595,-0.9465558194774347,-0.9465558194774347,1.0
80000,1.4189383,23.096385542168676,-14.324734,-0.9337349397590361,-0.9337349397590361,1.0
90000,1.4189383,21.137472283813747,-14.697505,-0.9512195121951219,-0.9512195121951219,1.0
100000,1.4189383,20.664502164502164,-15.1501255,-0.9556277056277056,-0.9556277056277056,1.0
110000,1.4156786,21.90366972477064,-14.198859,-0.9392201834862385,-0.9392201834862385,1.0
120000,1.4145795,21.498876404494382,-13.875518,-0.9449438202247191,-0.9449438202247191,1.0
130000,1.4145794,22.464788732394368,-13.968248,-0.9424882629107981,-0.9424882629107981,1.0
140000,1.4145795,21.440715883668904,-14.006298,-0.9407158836689038,-0.9407158836689038,1.0
150000,1.4145794,22.018433179723502,-13.676468,-0.9412442396313364,-0.9412442396313364,1.0
160000,1.4145794,21.504504504504503,-14.246289,-0.954954954954955,-0.954954954954955,1.0
170000,1.4145794,21.711363636363636,-13.64367,-0.9454545454545454,-0.9454545454545454,1.0
180000,1.4145794,21.177383592017737,-14.0935135,-0.9480088495575221,-0.9480088495575221,1.0
190000,1.4145794,21.335570469798657,-14.077838,-0.9463087248322147,-0.9463087248322147,1.0
200000,1.4145794,21.86986301369863,-13.260168,-0.958904109589041,-0.958904109589041,1.0
210000,1.4128289,21.07488986784141,-13.484935,-0.9658590308370044,-0.9658590308370044,1.0
220000,1.4111422,20.980176211453745,-12.462771,-0.9449339207048458,-0.9449339207048458,1.0
230000,1.4111423,21.04635761589404,-12.287164,-0.9326710816777042,-0.9326710816777042,1.0
240000,1.4111422,22.273781902552205,-12.365437,-0.9408352668213457,-0.9408352668213457,1.0
250000,1.4111422,20.87938596491228,-12.403857,-0.9495614035087719,-0.9495614035087719,1.0
260000,1.4111422,21.874429223744293,-12.382339,-0.94874715261959,-0.94874715261959,1.0
270000,1.4111422,20.936263736263736,-12.432883,-0.9560439560439561,-0.9560439560439561,1.0
280000,1.4111422,21.26,-12.427532,-0.9511111111111111,-0.9511111111111111,1.0
