Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
140000,1.4238721,-0.7700614,148.63333333333333,-1.0,-1.0,1.0
150000,1.4230199,-0.70890975,155.26153846153846,-1.0,-1.0,1.0
160000,1.4219258,-0.56404054,142.71428571428572,-1.0,-1.0,1.0
170000,1.421648,-0.4782503,132.58666666666667,-1.0,-1.0,1.0
180000,1.4206653,-0.49315876,140.18309859154928,-1.0,-1.0,1.0
190000,1.4192199,-0.39609927,133.44594594594594,-1.0,-1.0,1.0
200000,1.4183228,-0.46841598,137.76388888888889,-1.0,-1.0,1.0
210000,1.4174026,-0.5789969,152.73846153846154,-1.0,-1.0,1.0
220000,1.4156634,-0.5227133,176.48214285714286,-1.0,-1.0,1.0
230000,1.4141772,-0.25008544,167.63333333333333,-1.0,-1.0,1.0
240000,1.4151969,-0.08924464,169.58620689655172,-1.0,-1.0,1.0
250000,1.4147696,-0.0009529951,126.89873417721519,-0.9871794871794872,-0.9871794871794872,1.0
260000,1.414077,-0.19517899,94.98076923076923,-1.0,-1.0,1.0
270000,1.4151841,-0.13017522,102.82291666666667,-1.0,-1.0,1.0
280000,1.4165063,-0.1852734,107.49462365591398,-1.0,-1.0,1.0
290000,1.4167981,-0.040596973,113.19540229885058,-1.0,-1.0,1.0
300000,1.4171269,-0.047002334,117.60714285714286,-1.0,-1.0,1.0
310000,1.416931,0.48254177,108.43478260869566,-1.0,-1.0,1.0
320000,1.4141405,0.62984085,103.07368421052631,-1.0,-1.0,1.0
330000,1.4102685,0.77711487,95.97115384615384,-1.0,-1.0,1.0
340000,1.4082913,0.43949714,106.33333333333333,-1.0,-1.0,1.0
350000,1.4075646,0.33722785,107.18279569892474,-1.0,-1.0,1.0
360000,1.4053599,0.23997502,108.82417582417582,-1.0,-1.0,1.0
370000,1.4038804,0.19438961,98.13861386138613,-1.0,-1.0,1.0
380000,1.4025247,0.16744776,98.36,-1.0,-1.0,1.0
390000,1.4005122,0.12850127,98.72,-1.0,-1.0,1.0
400000,1.3996435,-0.17932554,138.19444444444446,-0.9861111111111112,-0.9861111111111112,1.0
410000,1.4001364,-0.17294674,167.74576271186442,-1.0,-1.0,1.0
420000,1.4005839,-0.12994298,177.39285714285714,-1.0,-1.0,1.0
430000,1.4016969,-0.05952644,158.20634920634922,-1.0,-1.0,1.0
440000,1.4029967,-0.08031027,161.4516129032258,-0.9836065573770492,-0.9836065573770492,1.0
450000,1.403236,3.4516253,106.03225806451613,-0.9787234042553191,-0.9787234042553191,1.0
460000,1.4040445,6.303845,99.77777777777777,-1.0,-1.0,1.0
470000,1.4059545,5.4688153,100.86868686868686,-1.0,-1.0,1.0
480000,1.4072063,5.0371675,102.78125,-1.0,-1.0,1.0
490000,1.4070399,4.7170186,109.3076923076923,-1.0,-1.0,1.0
500000,1.407042,4.340706,115.16279069767442,-1.0,-1.0,1.0
510000,1.4074819,3.7901766,114.61627906976744,-1.0,-1.0,1.0
520000,1.4071484,3.1802917,115.61627906976744,-1.0,-1.0,1.0
530000,1.4065697,2.637013,115.40697674418605,-1.0,-1.0,1.0
540000,1.4056721,2.2181647,115.32941176470588,-1.0,-1.0,1.0
550000,1.4045328,1.744618,113.42045454545455,-1.0,-1.0,1.0
560000,1.4045147,1.3514944,116.17441860465117,-1.0,-1.0,1.0
570000,1.4039545,1.0518502,125.51282051282051,-1.0,-1.0,1.0
580000,1.4035916,0.87261456,120.37349397590361,-1.0,-1.0,1.0
590000,1.4054629,0.7793322,155.3968253968254,-1.0,-1.0,1.0
600000,1.4057105,0.8177911,272.2432432432432,-1.0,-1.0,1.0
610000,1.4055285,0.9155602,653.1428571428571,-1.0,-1.0,1.0
620000,1.4041998,1.0818745,3889.0,-1.0,-1.0,1.0
630000,1.4019319,1.0716505,4582.0,-1.0,-1.0,1.0
640000,1.4007307,1.0085754,None,None,None,1.0
650000,1.4008563,0.99392027,None,None,None,1.0
660000,1.3991781,0.9060259,None,None,None,1.0
670000,1.3966998,0.83057004,None,None,None,1.0
680000,1.3951461,0.7213753,None,None,None,1.0
690000,1.3933741,0.64413035,None,None,None,1.0
700000,1.3931487,0.58017015,None,None,None,1.0
710000,1.3924724,0.5223101,None,None,None,1.0
720000,1.3908409,0.46775034,None,None,None,1.0
730000,1.3894331,0.40207312,None,None,None,1.0
740000,1.3880831,0.35324106,None,None,None,1.0
750000,1.3857784,0.31459898,None,None,None,1.0
760000,1.3842548,0.2597702,None,None,None,1.0
770000,1.383082,0.23109981,None,None,None,1.0
780000,1.3821616,0.19626895,None,None,None,1.0
790000,1.3810697,0.1673019,None,None,None,1.0
800000,1.3787392,0.13963741,None,None,None,1.0
810000,1.3758851,0.12448131,None,None,None,1.0
820000,1.3746507,0.11870088,None,None,None,1.0
830000,1.3744414,0.11033332,None,None,None,1.0
840000,1.3741245,0.107747,None,None,None,1.0
850000,1.3731167,0.10552507,222532.0,-1.0,-1.0,1.0
860000,1.3718334,0.099976294,None,None,None,1.0
870000,1.3700114,0.09719225,25478.0,-1.0,-1.0,1.0
