Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,17.522222222222222,-0.1235209,-0.614100185528757,-0.614100185528757,1.0
20000,1.4202204,17.68785046728972,-0.28156343,-0.5102803738317757,-0.5102803738317757,1.0
30000,1.4184718,17.568773234200744,-0.36471063,-0.4842300556586271,-0.4842300556586271,1.0
40000,1.4146538,16.401739130434784,-0.41310802,-0.25565217391304346,-0.25565217391304346,1.0
50000,1.409059,14.887301587301588,-0.37309983,-0.10158730158730159,-0.10158730158730159,1.0
60000,1.4045817,14.9744,-0.25426018,0.0784,0.0784,1.0
70000,1.4011859,14.84310618066561,-0.18243527,0.21077654516640254,0.21077654516640254,1.0
80000,1.3982669,14.069277108433734,-0.042686936,0.4186746987951807,0.4186746987951807,1.0
90000,1.395658,13.505079825834542,0.1279834,0.5594202898550724,0.5594202898550724,1.0
100000,1.3927636,12.5,0.28375122,0.6630727762803235,0.6630727762803235,1.0
110000,1.3894627,12.296,0.4651751,0.75,0.75,1.0
120000,1.3852944,11.727388535031848,0.6156207,0.867515923566879,0.867515923566879,1.0
130000,1.3823152,11.08695652173913,0.7136708,0.8599033816425121,0.8599033816425121,1.0
140000,1.3792406,10.53810623556582,0.78677416,0.9168591224018475,0.9168591224018475,1.0
150000,1.3761734,10.081949058693244,0.8401175,0.9335548172757475,0.9335548172757475,1.0
160000,1.3737007,10.243243243243244,0.8787328,0.968503937007874,0.968503937007874,1.0
170000,1.3710058,9.867391304347827,0.9084049,0.9695652173913043,0.9695652173913043,1.0
180000,1.3685976,9.625929861849096,0.92684215,0.9893730074388948,0.9893730074388948,1.0
190000,1.3665457,8.992,0.94383806,0.99000999000999,0.99000999000999,1.0
200000,1.3644652,8.980059820538385,0.94663894,0.9880358923230309,0.9880358923230309,1.0
210000,1.3625892,8.713035019455253,0.9519554,0.9922178988326849,0.9922178988326849,1.0
220000,1.3604285,8.390610328638498,0.95560724,0.9943661971830986,0.9943661971830986,1.0
230000,1.3576813,8.42507068803016,0.9510817,0.9962299717247879,0.9962299717247879,1.0
240000,1.3554822,8.270871985157699,0.9506464,0.9981464318813716,0.9981464318813716,1.0
250000,1.3544657,8.147301006404392,0.95153326,0.9926806953339433,0.9926806953339433,1.0
