Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
90000,1.4391557,56.927536231884055,-1.6061993,-0.14202896926714026,-0.14202896926714026,1.0
100000,1.439657,63.79738562091503,0.29176247,-0.17647057343152614,-0.17647057343152614,1.0
110000,1.4408355,73.34074074074074,0.8133239,-0.04444442413471363,-0.04444442413471363,1.0
120000,1.4422401,68.76923076923077,2.013696,0.00699302950105467,0.00699302950105467,1.0
130000,1.4438769,67.08783783783784,0.025711475,-0.09729727941590387,-0.09729727941590387,1.0
140000,1.4441507,71.74452554744525,0.5297157,-0.11824815812772208,-0.11824815812772208,1.0
150000,1.4457177,69.42657342657343,1.9000993,-0.029577444136982232,-0.029577444136982232,1.0
160000,1.4475558,71.01438848920863,-0.86874634,-0.048920844098646867,-0.048920844098646867,1.0
170000,1.4486597,67.36986301369863,-0.014171425,-0.09999998220025677,-0.09999998220025677,1.0
180000,1.4503695,69.31205673758865,-0.2455463,-0.06619716446164628,-0.06619716446164628,1.0
190000,1.4525208,57.923529411764704,-0.003803419,-0.021176450392779184,-0.021176450392779184,1.0
200000,1.4545097,62.534591194968556,1.3954221,-0.0696202343023276,-0.0696202343023276,1.0
210000,1.455969,60.285714285714285,-0.14851904,-0.07239261946063831,-0.07239261946063831,1.0
220000,1.4577725,65.44736842105263,0.31630978,-0.14039733473038832,-0.14039733473038832,1.0
230000,1.4594066,62.76433121019108,-0.68272674,-0.14140125824387667,-0.14140125824387667,1.0
240000,1.4610868,57.01176470588236,-1.4370949,-0.1485379962196127,-0.1485379962196127,1.0
250000,1.4619962,64.37012987012987,0.21461444,-0.06493504635699383,-0.06493504635699383,1.0
260000,1.4642017,60.13333333333333,-1.1763186,-0.05243900563658738,-0.05243900563658738,1.0
270000,1.4655389,66.22297297297297,-0.901111,-0.11946307092705029,-0.11946307092705029,1.0
280000,1.4668913,63.46103896103896,-0.34176877,-0.10779219091712654,-0.10779219091712654,1.0
290000,1.4679658,63.58064516129032,-0.5608149,-0.05419352977506576,-0.05419352977506576,1.0
300000,1.4693643,59.52095808383233,-0.72546786,-0.024096366152705915,-0.024096366152705915,1.0
310000,1.4704152,61.69426751592356,-0.19602615,-0.0645569427103936,-0.0645569427103936,1.0
320000,1.4711385,65.42384105960265,-0.50722325,-0.10066223460317447,-0.10066223460317447,1.0
330000,1.472782,65.34,0.35334718,-0.1112582596722028,-0.1112582596722028,1.0
340000,1.4749074,67.81506849315069,-0.00051412656,-0.04413791278312946,-0.04413791278312946,1.0
