Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,37.238461538461536,-4.606338,-18.615980647053668,-18.615980647053668,1.0
20000,1.4158089,41.104166666666664,-5.3643417,-21.384099183416467,-21.384099183416467,1.0
30000,1.4147784,38.91566265060241,-5.4381857,-20.38291481692018,-20.38291481692018,1.0
40000,1.4122255,37.37692307692308,-5.1683383,-18.99859222312852,-18.99859222312852,1.0
50000,1.409059,36.23880597014925,-5.322742,-18.981765676170124,-18.981765676170124,1.0
60000,1.4056722,36.842696629213485,-5.12704,-18.07602701484378,-18.07602701484378,1.0
70000,1.4024276,34.42348754448398,-4.6432433,-16.006750758033032,-16.006750758033032,1.0
80000,1.3988017,33.265517241379314,-4.8497887,-16.114139117471034,-16.114139117471034,1.0
90000,1.395115,30.590625,-4.547646,-14.55962204557563,-14.55962204557563,1.0
100000,1.3920698,30.140625,-4.2129755,-12.769385695835535,-12.769385695835535,1.0
110000,1.3888179,27.812680115273775,-3.8900986,-11.281091839596693,-11.281091839596693,1.0
120000,1.3875331,26.969359331476323,-4.0637727,-10.50610586442595,-10.50610586442595,1.0
130000,1.3869605,26.262295081967213,-4.035688,-10.194646739900605,-10.194646739900605,1.0
140000,1.3848095,25.605333333333334,-4.1180363,-10.015178937716332,-10.015178937716332,1.0
150000,1.3828177,25.214659685863875,-3.9970665,-9.2568465216437,-9.2568465216437,1.0
160000,1.3799444,24.7680412371134,-4.283102,-9.19859174573173,-9.19859174573173,1.0
170000,1.3763963,24.565217391304348,-4.4484816,-9.507247697558638,-9.507247697558638,1.0
180000,1.3740944,23.955,-4.413195,-8.948304006816906,-8.948304006816906,1.0
190000,1.372364,24.568877551020407,-4.4737387,-8.93178088679314,-8.93178088679314,1.0
200000,1.3710711,23.79950495049505,-4.4580445,-8.655592871820023,-8.655592871820023,1.0
210000,1.3700246,24.080604534005037,-4.346981,-8.409467524774982,-8.409467524774982,1.0
220000,1.3683348,22.302325581395348,-4.611529,-8.321977690970966,-8.321977690970966,1.0
