Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,3.2751617,35.12230215827338,-3.8236454944075877,-3.8236454944075877,1.0
20000,1.4203264,1.9537326,37.870588235294115,-4.069725824658235,-4.069725824658235,1.0
30000,1.421166,0.81037563,36.833333333333336,-3.970226524044957,-3.970226524044957,1.0
40000,1.4210614,-0.38538602,37.21212121212121,-3.9743338659150744,-3.9743338659150744,1.0
50000,1.4187641,-1.1679716,36.258426966292134,-3.896318973731042,-3.896318973731042,1.0
60000,1.4168581,-1.8017452,35.14855072463768,-3.800615249309635,-3.800615249309635,1.0
70000,1.4140836,-2.0945787,35.737226277372265,-3.8715011005054465,-3.8715011005054465,1.0
80000,1.4114648,-2.353792,34.13333333333333,-3.7000344302766677,-3.7000344302766677,1.0
90000,1.4105057,-2.5508583,36.38951310861423,-3.922760449502784,-3.922760449502784,1.0
100000,1.4086343,-2.7882185,32.33444816053512,-3.538199361326794,-3.538199361326794,1.0
110000,1.4061217,-2.8676329,33.43835616438356,-3.6372502082542764,-3.6372502082542764,1.0
120000,1.4029824,-2.964407,34.221830985915496,-3.6911572249181437,-3.6911572249181437,1.0
130000,1.4008781,-3.0547478,32.18394648829432,-3.555332702671488,-3.555332702671488,1.0
140000,1.3990965,-3.0654073,34.01393728222997,-3.7080412778703797,-3.7080412778703797,1.0
150000,1.398166,-3.11503,31.293548387096774,-3.412732517011344,-3.412732517011344,1.0
160000,1.3972906,-3.105028,31.32899022801303,-3.4288667111648516,-3.4288667111648516,1.0
170000,1.3962284,-3.1090775,29.96,-3.2882710448063817,-3.2882710448063817,1.0
180000,1.3951182,-3.0762951,32.0957095709571,-3.529407272035697,-3.529407272035697,1.0
190000,1.3938584,-3.0417368,32.10299003322259,-3.5231555312240737,-3.5231555312240737,1.0
200000,1.3926386,-2.9205706,28.824404761904763,-3.197886387318639,-3.197886387318639,1.0
210000,1.3914332,-2.8545165,29.293939393939393,-3.226494950881042,-3.226494950881042,1.0
220000,1.3893447,-2.902818,27.27683615819209,-3.0259713394121386,-3.0259713394121386,1.0
230000,1.3862453,-2.8996334,27.338068181818183,-3.0545165704785506,-3.0545165704785506,1.0
240000,1.3839045,-2.852883,27.36543909348442,-3.053087332066961,-3.053087332066961,1.0
250000,1.3826587,-2.788197,24.57179487179487,-2.792454775889664,-2.792454775889664,1.0
260000,1.3807675,-2.6937945,24.63938618925831,-2.778746342886706,-2.778746342886706,1.0
270000,1.3784977,-2.508645,23.084541062801932,-2.6353377303972407,-2.6353377303972407,1.0
