Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189386,78.08695652173913,1.2698147,-1.1971590932119975,-1.1971590932119975,1.0
20000,1.419232,81.29166666666667,1.7720999,-1.120459038672633,-1.120459038672633,1.0
30000,1.4210036,80.69421487603306,1.9918662,-1.143884313131167,-1.143884313131167,1.0
40000,1.4214332,80.08943089430895,2.534869,-1.1287298585859038,-1.1287298585859038,1.0
50000,1.4216431,73.88721804511279,2.5311246,-1.1016515360891141,-1.1016515360891141,1.0
60000,1.4227413,75.05426356589147,2.59681,-1.0873730929281848,-1.0873730929281848,1.0
70000,1.4229435,73.98561151079137,2.7612903,-1.1490404656266464,-1.1490404656266464,1.0
80000,1.424088,71.54014598540147,2.5542412,-1.1122826217282293,-1.1122826217282293,1.0
90000,1.4238347,77.43283582089552,3.0104542,-1.051011384563577,-1.051011384563577,1.0
100000,1.425939,79.33043478260869,2.7248392,-1.1049791841302068,-1.1049791841302068,1.0
110000,1.4246869,75.75968992248062,3.0961418,-1.111926373715202,-1.111926373715202,1.0
120000,1.4242563,85.07826086956521,2.704987,-1.056304368895033,-1.056304368895033,1.0
130000,1.4263642,89.74311926605505,2.4806545,-1.0013119447805465,-1.0013119447805465,1.0
140000,1.4290245,103.94897959183673,2.716371,-0.9494444688575135,-0.9494444688575135,1.0
150000,1.4305788,100.3932584269663,2.4382439,-0.9479550782674819,-0.9479550782674819,1.0
160000,1.4332485,123.7051282051282,2.3197718,-0.7932785067330056,-0.7932785067330056,1.0
170000,1.4350497,163.390625,2.3615735,-0.5969609708990902,-0.5969609708990902,1.0
180000,1.4373478,180.44230769230768,2.2748508,-0.6062500326392742,-0.6062500326392742,1.0
190000,1.4374566,181.9298245614035,2.3565989,-0.6140877496647207,-0.6140877496647207,1.0
200000,1.4355357,155.55737704918033,2.100742,-0.6658871260681941,-0.6658871260681941,1.0
210000,1.4352384,162.625,1.9110273,-0.6733594110119157,-0.6733594110119157,1.0
220000,1.4348379,189.44897959183675,1.8290898,-0.5771224836685828,-0.5771224836685828,1.0
230000,1.4322418,194.37037037037038,1.6821283,-0.5244815164004211,-0.5244815164004211,1.0
240000,1.4301674,191.82978723404256,1.5386809,-0.5235851409428931,-0.5235851409428931,1.0
250000,1.429498,179.78333333333333,1.3146131,-0.6007833663684626,-0.6007833663684626,1.0
260000,1.4300017,193.9375,1.0918381,-0.5279375332950925,-0.5279375332950925,1.0
270000,1.4282688,199.0,0.9401337,-0.4990660731311677,-0.4990660731311677,1.0
280000,1.423509,198.40425531914894,0.8169726,-0.5187553533134942,-0.5187553533134942,1.0
290000,1.4190035,199.0,0.70113826,-0.4990660731311677,-0.4990660731311677,1.0
300000,1.4150529,199.0,0.59987426,-0.4989787587460051,-0.4989787587460051,1.0
310000,1.4115505,199.0,0.5396699,-0.4990660731311677,-0.4990660731311677,1.0
320000,1.4070255,199.0,0.46314332,-0.4989787587460051,-0.4989787587460051,1.0
330000,1.4016879,199.0,0.40263358,-0.4801981500086357,-0.4801981500086357,1.0
340000,1.3979782,199.0,0.33871683,-0.4989787587460051,-0.4989787587460051,1.0
350000,1.395602,198.49056603773585,0.27885604,-0.4978302252953345,-0.4978302252953345,1.0
