Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,1.4198399,65.72527472527473,2.0420687,-1.109055577384101,-1.109055577384101,1.0
50000,1.4202454,64.97350993377484,1.7811722,-1.0963079610605113,-1.0963079610605113,1.0
60000,1.4203855,67.19310344827586,1.756523,-1.1128767269523177,-1.1128767269523177,1.0
70000,1.4193307,65.49342105263158,1.9185567,-1.0847862006998377,-1.0847862006998377,1.0
80000,1.4182861,59.029761904761905,1.569151,-1.1118601390293665,-1.1118601390293665,1.0
90000,1.4193923,60.23780487804878,1.4640149,-1.0961060775048805,-1.0961060775048805,1.0
100000,1.4221537,59.6,1.3019464,-1.0824848641048779,-1.0824848641048779,1.0
110000,1.4240788,58.265060240963855,1.1104218,-1.0678143858195779,-1.0678143858195779,1.0
120000,1.4240593,65.98611111111111,0.9465723,-1.074879329882819,-1.074879329882819,1.0
130000,1.4239388,66.93055555555556,0.66174877,-1.0765209957644657,-1.0765209957644657,1.0
140000,1.4252346,77.2265625,0.54229,-1.0681953355669975,-1.0681953355669975,1.0
150000,1.42723,87.0603448275862,0.43660006,-1.1479310565146392,-1.1479310565146392,1.0
160000,1.4282056,84.83505154639175,0.2999794,-1.1308333443270788,-1.1308333443270788,1.0
170000,1.427258,151.1,0.31251845,-1.244500023002426,-1.244500023002426,1.0
180000,1.424293,271.22222222222223,0.2636122,-1.2618195010970037,-1.2618195010970037,1.0
190000,1.4195068,354.0,0.2723148,-1.2335218098824439,-1.2335218098824439,1.0
200000,1.4158629,477.5,0.14593741,-1.2447500808164478,-1.2447500808164478,1.0
210000,1.4128633,517.3684210526316,0.02375389,-1.2421579898187989,-1.2421579898187989,1.0
220000,1.409389,561.4705882352941,0.045516387,-1.1107059684308136,-1.1107059684308136,1.0
230000,1.4049498,557.1,0.04764004,-1.2439250960946082,-1.2439250960946082,1.0
240000,1.4016914,492.45454545454544,0.021181304,-0.981404856379543,-0.981404856379543,1.0
250000,1.4009438,524.3333333333334,-0.038458277,-1.011187601601705,-1.011187601601705,1.0
260000,1.4022248,512.8095238095239,-0.035664923,-1.1877619883134252,-1.1877619883134252,1.0
270000,1.4035361,521.2777777777778,-0.0021462138,-1.156473779364636,-1.156473779364636,1.0
280000,1.4011515,541.1578947368421,-0.01327279,-1.0381579777519954,-1.0381579777519954,1.0
290000,1.3974981,522.9,-0.027130816,-1.158250093460083,-1.158250093460083,1.0
300000,1.3945283,565.8,-0.06778797,-1.0525001013385398,-1.0525001013385398,1.0
310000,1.3917185,599.0,-0.09676827,-0.9725790643378308,-0.9725790643378308,1.0
320000,1.3885974,540.7222222222222,-0.10572821,-1.2974723186343908,-1.2974723186343908,1.0
330000,1.3870283,517.8421052631579,-0.122336864,-1.2956843011473353,-1.2956843011473353,1.0
340000,1.3852205,562.7647058823529,-0.1088722,-0.9962648078799248,-0.9962648078799248,1.0
350000,1.383593,562.05,-0.054527316,-0.5563500976189971,-0.5563500976189971,1.0
360000,1.381765,599.0,-0.11227896,-0.6863438612781465,-0.6863438612781465,1.0
370000,1.3790908,578.2941176470588,-0.093301184,-0.44705892332336483,-0.44705892332336483,1.0
380000,1.376151,599.0,-0.043791346,-1.0283530345734428,-1.0283530345734428,1.0
390000,1.3746346,599.0,-0.05068979,-0.8322667606174946,-0.8322667606174946,1.0
400000,1.3743547,580.8235294117648,-0.09080326,-0.6780834419445859,-0.6780834419445859,1.0
410000,1.3727992,572.3333333333334,-0.07094345,-0.26552789927356774,-0.26552789927356774,1.0
420000,1.371521,599.0,-0.09259516,-0.6322667765120665,-0.6322667765120665,1.0
430000,1.3709223,593.1052631578947,-0.021945119,-0.3788685237890796,-0.3788685237890796,1.0
440000,1.370902,599.0,-0.08393514,-0.2047648107742562,-0.2047648107742562,1.0
450000,1.3714694,574.2,-0.11297356,0.09646648938457171,0.09646648938457171,1.0
460000,1.3713213,588.2631578947369,-0.09434787,-0.36676328433187383,-0.36676328433187383,1.0
