Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,80.76666666666667,0.14490299,-1.1019625132748236,-1.1019625132748236,1.0
20000,1.4177631,82.17241379310344,0.3746397,-1.1113077100907636,-1.1113077100907636,1.0
30000,1.41728,77.58730158730158,0.62782127,-1.0663040164709092,-1.0663040164709092,1.0
40000,1.4153031,86.98245614035088,0.47706902,-1.0628304546294005,-1.0628304546294005,1.0
50000,1.4155755,78.76377952755905,0.9433814,-1.055169308866103,-1.055169308866103,1.0
60000,1.4149504,71.61363636363636,1.2154115,-1.0584887409568728,-1.0584887409568728,1.0
70000,1.4141034,79.76923076923077,0.9984234,-1.0681085471034975,-1.0681085471034975,1.0
80000,1.4125562,76.66129032258064,1.0967138,-0.9994520170092582,-0.9994520170092582,1.0
90000,1.4116745,73.85401459854015,0.88105494,-1.0306433972163016,-1.0306433972163016,1.0
100000,1.4107581,79.69747899159664,0.72197676,-0.9419669602220216,-0.9419669602220216,1.0
110000,1.4095712,73.3409090909091,0.63487756,-1.0328609199172123,-1.0328609199172123,1.0
120000,1.4115845,83.15,0.46010536,-0.9247750125204524,-0.9247750125204524,1.0
130000,1.4129182,121.55,0.34904057,-0.8045250262133777,-0.8045250262133777,1.0
140000,1.4133046,150.8030303030303,0.27140135,-0.6353030583228577,-0.6353030583228577,1.0
150000,1.4131724,162.86206896551724,0.22915407,-0.5804138218598633,-0.5804138218598633,1.0
160000,1.4123019,185.88888888888889,0.20393904,-0.429120402265754,-0.429120402265754,1.0
170000,1.4104255,191.2549019607843,0.12945977,-0.2638137586341769,-0.2638137586341769,1.0
180000,1.4080874,194.37037037037038,0.086408995,-0.3761111466145074,-0.3761111466145074,1.0
190000,1.4057646,195.62,0.06806941,-0.3504100365191698,-0.3504100365191698,1.0
200000,1.4031011,195.6078431372549,0.05371149,-0.29020003840327263,-0.29020003840327263,1.0
210000,1.4001877,193.51923076923077,0.016418481,-0.3910566352237508,-0.3910566352237508,1.0
220000,1.397515,187.78846153846155,-0.022410497,-0.47023532576128546,-0.47023532576128546,1.0
230000,1.3957942,192.56,-0.019695492,-0.36111541421940696,-0.36111541421940696,1.0
240000,1.3938222,191.27272727272728,-0.059864245,-0.35493753507866393,-0.35493753507866393,1.0
250000,1.3905314,191.80769230769232,-0.057030074,-0.3847115726138537,-0.3847115726138537,1.0
260000,1.3880671,199.0,-0.014212265,-0.29898003928363326,-0.29898003928363326,1.0
270000,1.386566,196.59183673469389,-0.06864966,-0.3296837075708472,-0.3296837075708472,1.0
280000,1.3844677,199.0,-0.045293625,-0.0198333637866502,-0.0198333637866502,1.0
290000,1.3830035,199.0,-0.053041756,-0.2540918751714789,-0.2540918751714789,1.0
300000,1.379369,199.0,-0.04771362,-0.09085717766868825,-0.09085717766868825,1.0
310000,1.3776386,199.0,-0.056495868,-0.23900003630667924,-0.23900003630667924,1.0
320000,1.3755568,197.28301886792454,-0.061268147,-0.19272645243074535,-0.19272645243074535,1.0
330000,1.3730289,199.0,-0.021014655,-0.018096195963712838,-0.018096195963712838,1.0
340000,1.3713998,195.12,-0.023566604,-0.18908003736287354,-0.18908003736287354,1.0
350000,1.3708116,194.92156862745097,-0.07288492,0.001637214319963081,0.001637214319963081,1.0
360000,1.3713536,199.0,-0.033542342,0.1746938384081028,0.1746938384081028,1.0
370000,1.3717115,199.0,-0.0124647375,0.04123995874077082,0.04123995874077082,1.0
380000,1.3720299,199.0,0.0025743395,0.15425506245572956,0.15425506245572956,1.0
390000,1.3730232,196.82,0.017550759,0.34353057526964315,0.34353057526964315,1.0
400000,1.3741845,199.0,0.023330592,0.2558490242809057,0.2558490242809057,1.0
410000,1.3740805,195.67307692307693,-0.04516042,0.14404804066110116,0.14404804066110116,1.0
420000,1.3724278,199.0,0.00976328,0.13368363009423626,0.13368363009423626,1.0
430000,1.3715528,199.0,-0.053691637,0.14806859224450356,0.14806859224450356,1.0
440000,1.3709232,196.92,0.010299737,0.4062699548900127,0.4062699548900127,1.0
450000,1.3698361,199.0,-0.028891128,0.2765203633402683,0.2765203633402683,1.0
460000,1.3682717,199.0,0.008470712,0.35812241051878246,0.35812241051878246,1.0
470000,1.3674588,199.0,0.0137401745,0.641009945832193,0.641009945832193,1.0
480000,1.3664261,199.0,0.03963602,0.5598038753458098,0.5598038753458098,1.0
490000,1.3668675,199.0,-0.0044971155,0.5794509391428209,0.5794509391428209,1.0
500000,1.3670082,199.0,0.07882045,0.5214081184216299,0.5214081184216299,1.0
510000,1.3663597,197.1153846153846,0.014435906,0.5249710988181715,0.5249710988181715,1.0
520000,1.3658347,198.83673469387756,0.043588117,0.5014081062482936,0.5014081062482936,1.0
530000,1.3649639,199.0,0.117541544,0.8810199524462223,0.8810199524462223,1.0
540000,1.3640207,199.0,0.11638415,0.6846836145054929,0.6846836145054929,1.0
550000,1.3638728,198.84313725490196,0.057048663,0.44258819202728134,0.44258819202728134,1.0
560000,1.3639772,197.4313725490196,0.17028753,1.289146998093701,1.289146998093701,1.0
570000,1.3637058,199.0,0.22669871,1.0927652386302242,1.0927652386302242,1.0
580000,1.3634974,196.79591836734693,0.26566797,1.3431733964125112,1.3431733964125112,1.0
