Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,83.37931034482759,-1.0052842,-1.1395043303451404,-1.1395043303451404,1.0
20000,1.4153055,88.990990990991,-0.82344556,-1.1234054248780012,-1.1234054248780012,1.0
30000,1.4116406,86.95535714285714,-0.6963485,-1.0745893104800157,-1.0745893104800157,1.0
40000,1.4090319,88.96363636363637,-0.5965344,-1.1038486457370016,-1.1038486457370016,1.0
50000,1.4072199,94.79411764705883,-0.47881308,-1.1197718648981412,-1.1197718648981412,1.0
60000,1.4045861,97.97058823529412,-0.5024874,-1.0698446862725088,-1.0698446862725088,1.0
70000,1.4033887,96.44,-0.46726477,-1.1012650198861957,-1.1012650198861957,1.0
80000,1.4029508,114.70930232558139,-0.453126,-0.95109304647113,-0.95109304647113,1.0
90000,1.401505,129.13513513513513,-0.41448128,-0.9238158149252597,-0.9238158149252597,1.0
100000,1.4002776,140.59154929577466,-0.45667982,-0.7325704558686891,-0.7325704558686891,1.0
110000,1.3991733,150.48529411764707,-0.45696297,-0.6141268907309468,-0.6141268907309468,1.0
120000,1.3983028,155.87301587301587,-0.40219432,-0.43931252710171975,-0.43931252710171975,1.0
130000,1.3974525,171.875,-0.3530225,-0.48432146149155286,-0.48432146149155286,1.0
140000,1.3949231,174.01754385964912,-0.29805374,-0.15541231766212404,-0.15541231766212404,1.0
150000,1.3920864,178.0,-0.25161472,-0.16041967708484403,-0.16041967708484403,1.0
160000,1.3891616,190.0188679245283,-0.24242659,-0.11788683282738587,-0.11788683282738587,1.0
170000,1.3867812,188.90384615384616,-0.2495388,0.026490352725466855,0.026490352725466855,1.0
180000,1.3848835,196.64,-0.21859317,0.30716994795948266,0.30716994795948266,1.0
190000,1.3838657,196.92307692307693,-0.14030968,0.217999964271887,0.217999964271887,1.0
200000,1.3838444,186.56603773584905,-0.1237854,0.10597218331639413,0.10597218331639413,1.0
210000,1.3840094,191.7,-0.07350942,0.5392899477481842,0.5392899477481842,1.0
220000,1.3843968,196.58,-0.026140198,0.6268999639153481,0.6268999639153481,1.0
230000,1.3843488,197.78846153846155,-0.052445557,0.6192595642418243,0.6192595642418243,1.0
240000,1.3841087,198.04,0.0019108808,0.7777940791246354,0.7777940791246354,1.0
250000,1.3838584,197.875,-0.027372293,0.7328228588836888,0.7328228588836888,1.0
260000,1.3835508,198.77551020408163,0.10871031,1.0931836178868402,1.0931836178868402,1.0
270000,1.38321,198.31372549019608,0.10928967,1.1299411012042386,1.1299411012042386,1.0
280000,1.3828226,188.71698113207546,0.22917141,1.564471646581056,1.564471646581056,1.0
290000,1.3826063,192.57407407407408,0.172981,1.6465554677846808,1.6465554677846808,1.0
300000,1.3822324,195.44,0.2061623,1.6097199358046055,1.6097199358046055,1.0
310000,1.3821056,191.65384615384616,0.25907943,2.019297981706376,2.019297981706376,1.0
320000,1.3815286,190.36,0.42527208,2.482629905752838,2.482629905752838,1.0
330000,1.3816135,180.3859649122807,0.37059662,1.9404909914093358,1.9404909914093358,1.0
340000,1.3790656,190.30769230769232,0.53049535,2.523348968757211,2.523348968757211,1.0
350000,1.3783082,192.16666666666666,0.5634406,2.703259175884779,2.703259175884779,1.0
360000,1.3777059,186.58490566037736,0.6672523,2.7773112295160316,2.7773112295160316,1.0
370000,1.3754987,186.27777777777777,0.81166977,3.0805942736706644,3.0805942736706644,1.0
380000,1.3739965,189.15384615384616,0.80005044,3.1101602656801917,3.1101602656801917,1.0
390000,1.3719053,182.8235294117647,0.9639414,3.3258626551239514,3.3258626551239514,1.0
400000,1.3700929,177.57894736842104,1.1040924,3.6588244522153808,3.6588244522153808,1.0
410000,1.3666679,177.66666666666666,1.1548086,3.6261249010983323,3.6261249010983323,1.0
420000,1.3661255,171.8448275862069,1.2589153,4.051663643552055,4.051663643552055,1.0
430000,1.3650557,170.31666666666666,1.374115,4.106033227220178,4.106033227220178,1.0
440000,1.3630669,166.89830508474577,1.4356318,4.265408212474237,4.265408212474237,1.0
450000,1.3610036,160.56666666666666,1.4930812,4.346599873838326,4.346599873838326,1.0
460000,1.3589764,159.20967741935485,1.5983168,4.393293534361181,4.393293534361181,1.0
470000,1.3566014,157.8,1.6446143,4.280946052848146,4.280946052848146,1.0
480000,1.3550258,158.76271186440678,1.6896052,4.347338860286242,4.347338860286242,1.0
490000,1.3544651,151.7910447761194,1.7673479,4.484664057172946,4.484664057172946,1.0
500000,1.3537973,151.80597014925374,1.8036345,4.436787735191032,4.436787735191032,1.0
510000,1.3526051,152.84375,1.8186408,4.5399075879787025,4.5399075879787025,1.0
520000,1.3514837,147.0441176470588,1.8680562,4.455289733393685,4.455289733393685,1.0
530000,1.3510408,145.0,1.8673638,4.591059573773128,4.591059573773128,1.0
540000,1.3512552,150.48529411764707,1.8854966,4.593551339143339,4.593551339143339,1.0
550000,1.3505307,140.18840579710144,1.9548503,4.604871271869966,4.604871271869966,1.0
560000,1.3485295,139.73239436619718,1.9641829,4.606901256000282,4.606901256000282,1.0
570000,1.3458128,140.70422535211267,1.9671749,4.605328426323831,4.605328426323831,1.0
580000,1.3436565,140.58823529411765,1.9974177,4.601811462905312,4.601811462905312,1.0
590000,1.3429075,143.84285714285716,2.0232377,4.5969012556728766,4.5969012556728766,1.0
600000,1.3421476,140.18309859154928,2.0525627,4.6483470439496966,4.6483470439496966,1.0
610000,1.3407645,139.53623188405797,2.052864,4.620673737961097,4.620673737961097,1.0
620000,1.338684,129.30769230769232,2.0583653,4.6625383007220735,4.6625383007220735,1.0
630000,1.3365381,133.52,2.0556598,4.651282780338079,4.651282780338079,1.0
640000,1.3347034,132.97297297297297,2.054069,4.66609443140191,4.66609443140191,1.0
650000,1.3333005,136.25,2.0628736,4.630138779602324,4.630138779602324,1.0
660000,1.3323821,131.8082191780822,2.0551465,4.6683714260926115,4.6683714260926115,1.0
670000,1.3312215,134.80519480519482,2.080228,4.661098533751149,4.661098533751149,1.0
680000,1.3310604,133.83333333333334,2.0852828,4.649923458488451,4.649923458488451,1.0
690000,1.3304826,130.76623376623377,2.0904431,4.646102420293177,4.646102420293177,1.0
700000,1.3302304,126.78947368421052,2.1241958,4.681427447419417,4.681427447419417,1.0
710000,1.3301178,131.5194805194805,2.142125,4.669681636737539,4.669681636737539,1.0
720000,1.3290402,126.68354430379746,2.1587062,4.6814998755088215,4.6814998755088215,1.0
730000,1.3286524,127.07692307692308,2.1747713,4.68089859017843,4.68089859017843,1.0
740000,1.328622,125.84146341463415,2.174814,4.660575767861137,4.660575767861137,1.0
750000,1.3288752,125.36842105263158,2.1926627,4.67210108343559,4.67210108343559,1.0
760000,1.3290302,125.31168831168831,2.2017353,4.6726960367464185,4.6726960367464185,1.0
770000,1.3290042,123.4,2.2158003,4.6899373242631555,4.6899373242631555,1.0
780000,1.3294822,123.44578313253012,2.236479,4.6898793585329175,4.6898793585329175,1.0
790000,1.3288367,126.72727272727273,2.2487893,4.6816491531087205,4.6816491531087205,1.0
800000,1.3283458,121.4074074074074,2.251691,4.6949566014019055,4.6949566014019055,1.0
810000,1.3276262,122.01204819277109,2.2539027,4.693475509016979,4.693475509016979,1.0
820000,1.3268468,120.24096385542168,2.2937644,4.698126351258841,4.698126351258841,1.0
830000,1.3260808,121.6375,2.2827907,4.68131855726242,4.68131855726242,1.0
840000,1.3255471,118.8780487804878,2.3078787,4.6895600925368,4.6895600925368,1.0
850000,1.3256204,118.88235294117646,2.3015397,4.701329249494216,4.701329249494216,1.0
860000,1.3254498,118.73170731707317,2.299162,4.6888763352676675,4.6888763352676675,1.0
870000,1.3252157,121.65853658536585,2.312726,4.684402300817211,4.684402300817211,1.0
880000,1.325113,122.58024691358025,2.299668,4.69029614513303,4.69029614513303,1.0
890000,1.325328,121.92771084337349,2.2737875,4.693511861814073,4.693511861814073,1.0
900000,1.3255316,123.88311688311688,2.2650926,4.688954957020589,4.688954957020589,1.0
910000,1.3262613,122.93975903614458,2.263517,4.678841307759285,4.678841307759285,1.0
920000,1.3267989,117.90243902439025,2.2825043,4.703617473910836,4.703617473910836,1.0
930000,1.3273581,123.3125,2.2821412,4.690281082876027,4.690281082876027,1.0
940000,1.3282613,122.3780487804878,2.2791939,4.692975124459208,4.692975124459208,1.0
950000,1.3282992,117.54117647058824,2.2864792,4.703952815252192,4.703952815252192,1.0
