Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,44.88990825688074,-3.0138185,-7.170126997380762,-7.170126997380762,1.0
20000,1.417497,45.23963133640553,-3.533998,-7.3040290285365375,-7.3040290285365375,1.0
30000,1.4154037,43.927927927927925,-3.7420852,-7.064264885477118,-7.064264885477118,1.0
40000,1.4132129,42.426086956521736,-3.579351,-6.6528274017831555,-6.6528274017831555,1.0
50000,1.4112786,40.903361344537814,-3.4858162,-6.254183256476494,-6.254183256476494,1.0
60000,1.4117379,40.20987654320987,-3.4765747,-5.940992987204972,-5.940992987204972,1.0
70000,1.4097513,38.872,-3.3769424,-5.684795178413391,-5.684795178413391,1.0
80000,1.4056649,37.3639846743295,-3.2124329,-5.331083534321109,-5.331083534321109,1.0
90000,1.4030566,35.874538745387454,-3.0388823,-5.060440192803245,-5.060440192803245,1.0
100000,1.3999337,34.28521126760563,-2.8444862,-4.6358425608823,-4.6358425608823,1.0
110000,1.3978863,33.71180555555556,-2.7227497,-4.424875998662578,-4.424875998662578,1.0
120000,1.3956362,32.2,-2.6165054,-4.281283321570716,-4.281283321570716,1.0
130000,1.3921715,31.431818181818183,-2.5737276,-4.117289043866195,-4.117289043866195,1.0
140000,1.3892132,30.670886075949365,-2.5092735,-3.87083473235746,-3.87083473235746,1.0
150000,1.3874373,29.86687306501548,-2.4088867,-3.716096505338763,-3.716096505338763,1.0
160000,1.3864328,28.98198198198198,-2.3650143,-3.613620164158108,-3.613620164158108,1.0
170000,1.384767,28.526785714285715,-2.3207383,-3.5137972262053365,-3.5137972262053365,1.0
180000,1.3815857,27.827089337175792,-2.275757,-3.388933754104702,-3.388933754104702,1.0
190000,1.3776208,27.268361581920903,-2.2456431,-3.3376285538161543,-3.3376285538161543,1.0
200000,1.3728467,26.33150684931507,-2.1893294,-3.196717139792769,-3.196717139792769,1.0
210000,1.3680687,25.86058981233244,-2.1449327,-3.101095195110618,-3.101095195110618,1.0
220000,1.3642008,25.28157894736842,-2.0953047,-3.0259815943868538,-3.0259815943868538,1.0
230000,1.3599313,24.839793281653748,-2.054989,-2.946968362004874,-2.946968362004874,1.0
240000,1.3537637,24.819121447028422,-2.0572498,-2.910817845231187,-2.910817845231187,1.0
250000,1.3477057,24.56122448979592,-2.0216622,-2.888934320333053,-2.888934320333053,1.0
260000,1.3441544,24.154040404040405,-2.0003233,-2.8403665256740465,-2.8403665256740465,1.0
270000,1.3411787,24.262626262626263,-1.9818399,-2.7739078537984327,-2.7739078537984327,1.0
280000,1.3383726,23.75990099009901,-1.9540557,-2.762954862401037,-2.762954862401037,1.0
290000,1.33442,23.690594059405942,-1.9422846,-2.745011141712283,-2.745011141712283,1.0
300000,1.3295612,23.693069306930692,-1.9201735,-2.6958926283283,-2.6958926283283,1.0
310000,1.3272978,23.329268292682926,-1.9094939,-2.7241770496043554,-2.7241770496043554,1.0
320000,1.3258631,23.29126213592233,-1.8980103,-2.673524314628064,-2.673524314628064,1.0
330000,1.323094,23.20096852300242,-1.8979926,-2.661308158973805,-2.661308158973805,1.0
340000,1.320472,23.16222760290557,-1.8844424,-2.6265199719995693,-2.6265199719995693,1.0
350000,1.3174907,22.85441527446301,-1.853427,-2.6276474311983384,-2.6276474311983384,1.0
360000,1.3142377,22.954436450839328,-1.8504826,-2.5867026938523034,-2.5867026938523034,1.0
370000,1.3127627,22.809069212410503,-1.8458606,-2.597367908841088,-2.597367908841088,1.0
380000,1.3118324,22.807142857142857,-1.8466166,-2.6059726760500954,-2.6059726760500954,1.0
390000,1.3097036,22.685314685314687,-1.845955,-2.5967813780967224,-2.5967813780967224,1.0
400000,1.3092492,22.920374707259953,-1.844991,-2.550112506704467,-2.550112506704467,1.0
410000,1.3071859,22.77970297029703,-1.8566226,-2.5627500624883743,-2.5627500624883743,1.0
420000,1.3054262,22.819477434679335,-1.8384346,-2.546461960815248,-2.546461960815248,1.0
430000,1.304788,22.566350710900473,-1.8256928,-2.561681073510422,-2.561681073510422,1.0
440000,1.303406,22.856801909307876,-1.8271232,-2.553600059236799,-2.553600059236799,1.0
450000,1.3027418,22.692671394799053,-1.8349903,-2.5147257580011377,-2.5147257580011377,1.0
460000,1.3016299,22.741626794258373,-1.8253751,-2.52444838259962,-2.52444838259962,1.0
470000,1.3010806,22.599056603773583,-1.8213332,-2.547479417526497,-2.547479417526497,1.0
480000,1.2998512,22.61465721040189,-1.823607,-2.519299699905071,-2.519299699905071,1.0
490000,1.297272,22.657210401891252,-1.7894319,-2.486680893187827,-2.486680893187827,1.0
500000,1.2939155,22.828162291169452,-1.7925719,-2.503073254227638,-2.503073254227638,1.0
510000,1.2919747,22.870813397129186,-1.8018917,-2.4653347670889696,-2.4653347670889696,1.0
520000,1.2901442,22.73095238095238,-1.791312,-2.477819524864686,-2.477819524864686,1.0
530000,1.2890105,22.816229116945106,-1.764625,-2.4608417048340754,-2.4608417048340754,1.0
540000,1.287771,22.778042959427207,-1.7910118,-2.4704809960864837,-2.4704809960864837,1.0
550000,1.285558,23.48166259168704,-1.7852831,-2.3889878239200284,-2.3889878239200284,1.0
560000,1.2838988,23.190821256038646,-1.7686037,-2.418936020942126,-2.418936020942126,1.0
570000,1.2824609,23.036057692307693,-1.7513779,-2.43443453254608,-2.43443453254608,1.0
580000,1.2805387,23.106796116504853,-1.7537694,-2.4295682855274365,-2.4295682855274365,1.0
590000,1.278573,22.832935560859188,-1.7578908,-2.409810751250812,-2.409810751250812,1.0
600000,1.2762219,22.661137440758292,-1.765339,-2.425737590162675,-2.425737590162675,1.0
610000,1.273341,22.79236276849642,-1.7620255,-2.3719311486796926,-2.3719311486796926,1.0
620000,1.2707747,22.676959619952495,-1.763218,-2.3844668592604417,-2.3844668592604417,1.0
630000,1.2691461,22.985611510791365,-1.7340184,-2.3698441600628035,-2.3698441600628035,1.0
640000,1.2677246,23.081927710843374,-1.7070931,-2.355827140089977,-2.355827140089977,1.0
650000,1.2652541,23.150121065375302,-1.720787,-2.3476014789463817,-2.3476014789463817,1.0
660000,1.2627954,22.696682464454977,-1.6918415,-2.3628276380317472,-2.3628276380317472,1.0
670000,1.2610042,22.963942307692307,-1.7102226,-2.3427446321617786,-2.3427446321617786,1.0
680000,1.2594389,22.990384615384617,-1.7254217,-2.376049195976852,-2.376049195976852,1.0
690000,1.2578712,22.857142857142858,-1.7221351,-2.3615666917392186,-2.3615666917392186,1.0
700000,1.2563342,23.16058394160584,-1.7312942,-2.345232479075831,-2.345232479075831,1.0
710000,1.2545291,22.837708830548927,-1.7404945,-2.335486334562302,-2.335486334562302,1.0
720000,1.2538773,23.42751842751843,-1.7339458,-2.3105287645148764,-2.3105287645148764,1.0
730000,1.2526842,22.766666666666666,-1.69997,-2.3448670163856833,-2.3448670163856833,1.0
740000,1.2509538,22.732227488151658,-1.7024366,-2.3712524018157715,-2.3712524018157715,1.0
750000,1.2504451,23.03864734299517,-1.6983578,-2.301334364155689,-2.301334364155689,1.0
760000,1.2484618,22.913875598086126,-1.6967989,-2.2823343617066243,-2.2823343617066243,1.0
770000,1.2478641,22.966426858513188,-1.6823394,-2.2803104276006874,-2.2803104276006874,1.0
780000,1.2479286,23.194174757281555,-1.6881961,-2.2941810139443626,-2.2941810139443626,1.0
790000,1.2472181,22.816470588235294,-1.7011855,-2.326849196415899,-2.326849196415899,1.0
800000,1.2459258,22.82051282051282,-1.7221211,-2.3021217469383823,-2.3021217469383823,1.0
810000,1.2444799,23.049875311720697,-1.6929264,-2.2760847690873423,-2.2760847690873423,1.0
820000,1.2442195,22.80952380952381,-1.6896662,-2.29927919223195,-2.29927919223195,1.0
830000,1.2433169,22.942307692307693,-1.686788,-2.288119936017967,-2.288119936017967,1.0
840000,1.242241,22.944976076555022,-1.6817315,-2.294235080765765,-2.294235080765765,1.0
850000,1.2414705,22.839712918660286,-1.6611419,-2.2890292636534477,-2.2890292636534477,1.0
860000,1.2397686,23.380487804878047,-1.6721367,-2.2683558749021406,-2.2683558749021406,1.0
870000,1.2390916,23.403422982885086,-1.6494538,-2.243437683815478,-2.243437683815478,1.0
880000,1.238983,22.804761904761904,-1.6636662,-2.2691366117527254,-2.2691366117527254,1.0
890000,1.2387649,22.656398104265403,-1.6945233,-2.260660564871196,-2.260660564871196,1.0
900000,1.2376014,23.086746987951805,-1.6802325,-2.2378699069999786,-2.2378699069999786,1.0
910000,1.23599,22.92105263157895,-1.6759113,-2.262370555099269,-2.262370555099269,1.0
920000,1.2342135,22.875894988066825,-1.6673316,-2.2681363838141047,-2.2681363838141047,1.0
930000,1.2327259,22.937649880095922,-1.6723374,-2.2687691654029645,-2.2687691654029645,1.0
940000,1.2320358,23.16222760290557,-1.644622,-2.221353288649937,-2.221353288649937,1.0
950000,1.2315329,22.741092636579573,-1.641203,-2.2642666458234086,-2.2642666458234086,1.0
960000,1.2309291,22.771428571428572,-1.673312,-2.2697387493421233,-2.2697387493421233,1.0
970000,1.2293615,22.930455635491608,-1.6721765,-2.231724304374325,-2.231724304374325,1.0
980000,1.2278225,22.92086330935252,-1.6738828,-2.2304527820867786,-2.2304527820867786,1.0
990000,1.2265935,22.93062200956938,-1.6648536,-2.2383463168828683,-2.2383463168828683,1.0
1000000,1.2249105,23.12378640776699,-1.6489033,-2.2404185064172975,-2.2404185064172975,1.0
1010000,1.2233421,22.835714285714285,-1.6747166,-2.2340399121954326,-2.2340399121954326,1.0
1020000,1.2225013,22.844868735083534,-1.6768357,-2.2452339168664666,-2.2452339168664666,1.0
1030000,1.2217143,22.817102137767222,-1.6715839,-2.2448379056187537,-2.2448379056187537,1.0
1040000,1.2200872,22.906474820143885,-1.6681285,-2.2338705280130142,-2.2338705280130142,1.0
1050000,1.2186005,23.116222760290558,-1.6622341,-2.2146500272923206,-2.2146500272923206,1.0
1060000,1.2180116,23.24330900243309,-1.6380635,-2.1825333991386358,-2.1825333991386358,1.0
1070000,1.217221,23.065375302663437,-1.6189035,-2.1840259302093323,-2.1840259302093323,1.0
1080000,1.2165862,23.033653846153847,-1.6315728,-2.2110192585163393,-2.2110192585163393,1.0
1090000,1.2163252,22.665876777251185,-1.6416776,-2.2444787496088807,-2.2444787496088807,1.0
1100000,1.2154428,23.009615384615383,-1.6241345,-2.192746424131828,-2.192746424131828,1.0
1110000,1.2141715,23.150121065375302,-1.6365238,-2.2186032886378433,-2.2186032886378433,1.0
1120000,1.212396,22.813842482100238,-1.6503798,-2.2559321698688324,-2.2559321698688324,1.0
1130000,1.2111862,23.01923076923077,-1.6341856,-2.182201351540593,-2.182201351540593,1.0
1140000,1.2102343,22.94736842105263,-1.6437509,-2.244171671604996,-2.244171671604996,1.0
1150000,1.2103747,23.231143552311437,-1.612256,-2.16611289645283,-2.16611289645283,1.0
1160000,1.2090021,22.828162291169452,-1.6497811,-2.2031655033429463,-2.2031655033429463,1.0
1170000,1.2071311,22.818181818181817,-1.6584133,-2.250365499584448,-2.250365499584448,1.0
1180000,1.2054708,22.787589498806682,-1.6600337,-2.2357083557617097,-2.2357083557617097,1.0
1190000,1.2045723,23.13126491646778,-1.647425,-2.210397617357323,-2.210397617357323,1.0
1200000,1.2040833,22.81118881118881,-1.6447955,-2.2096107436077936,-2.2096107436077936,1.0
1210000,1.2031306,23.09725685785536,-1.6314765,-2.1894223195960723,-2.1894223195960723,1.0
1220000,1.2023001,22.93285371702638,-1.652547,-2.215521558334953,-2.215521558334953,1.0
1230000,1.2015533,22.649289099526065,-1.6601335,-2.2546519144629755,-2.2546519144629755,1.0
1240000,1.2012918,23.239709443099272,-1.6601264,-2.1753137359775385,-2.1753137359775385,1.0
1250000,1.1997739,22.809069212410503,-1.6538814,-2.1829208611022857,-2.1829208611022857,1.0
1260000,1.1990908,23.028846153846153,-1.6289817,-2.200875628524675,-2.200875628524675,1.0
1270000,1.1986456,23.007194244604317,-1.6128256,-2.1750186074266047,-2.1750186074266047,1.0
1280000,1.1980627,22.916267942583733,-1.6112618,-2.15499822189363,-2.15499822189363,1.0
1290000,1.1971979,23.05301204819277,-1.6138875,-2.1639188919216394,-2.1639188919216394,1.0
1300000,1.1959896,22.973493975903615,-1.6380714,-2.170695470677291,-2.170695470677291,1.0
1310000,1.1953115,22.80622009569378,-1.6319664,-2.223720793223324,-2.223720793223324,1.0
1320000,1.1948985,22.708530805687204,-1.633603,-2.2187387649481893,-2.2187387649481893,1.0
1330000,1.1941767,23.086746987951805,-1.6211299,-2.1576536368174724,-2.1576536368174724,1.0
1340000,1.1936858,23.239709443099272,-1.6222789,-2.158986708153824,-2.158986708153824,1.0
1350000,1.1933151,22.985611510791365,-1.6192173,-2.187893910516652,-2.187893910516652,1.0
1360000,1.1927533,23.32116788321168,-1.5794138,-2.149870464836594,-2.149870464836594,1.0
1370000,1.1922884,22.983213429256594,-1.5989047,-2.1513315627900815,-2.1513315627900815,1.0
1380000,1.1915178,22.873508353221958,-1.6280518,-2.1941324812415677,-2.1941324812415677,1.0
1390000,1.190753,22.933014354066987,-1.5965924,-2.137620836638948,-2.137620836638948,1.0
1400000,1.1903902,22.930455635491608,-1.618051,-2.1783951094968144,-2.1783951094968144,1.0
