Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,87.37614678899082,1.5139985,-0.8348623853211009,-0.8348623853211009,1.0
20000,1.4190073,85.84070796460178,1.6289685,-0.8584070796460177,-0.8584070796460177,1.0
30000,1.4175664,77.1484375,1.5310024,-0.7952755905511811,-0.7952755905511811,1.0
40000,1.4189651,82.3821138211382,1.3360672,-0.8373983739837398,-0.8373983739837398,1.0
50000,1.4187306,82.58823529411765,1.2151878,-0.7833333333333333,-0.7833333333333333,1.0
60000,1.4204798,88.17857142857143,1.2522109,-0.9285714285714286,-0.9285714285714286,1.0
70000,1.4222192,82.27586206896552,1.2262139,-0.9137931034482759,-0.9137931034482759,1.0
80000,1.4227284,77.81395348837209,1.1492616,-0.8914728682170543,-0.8914728682170543,1.0
90000,1.4225177,89.31067961165049,1.0426118,-0.941747572815534,-0.941747572815534,1.0
100000,1.4245322,81.625,0.898691,-0.8524590163934426,-0.8524590163934426,1.0
110000,1.4262028,117.78313253012048,0.79476625,-0.9047619047619048,-0.9047619047619048,1.0
120000,1.4254642,121.16666666666667,0.725184,-0.7333333333333333,-0.7333333333333333,1.0
130000,1.4241912,154.203125,0.50981677,-0.873015873015873,-0.873015873015873,1.0
140000,1.4250072,158.7674418604651,0.375008,-0.813953488372093,-0.813953488372093,1.0
150000,1.4263533,107.82608695652173,0.44081846,-0.9166666666666666,-0.9166666666666666,1.0
160000,1.4252092,373.375,0.39505553,-0.75,-0.75,1.0
170000,1.4223757,565.1666666666666,0.42781517,-0.6666666666666666,-0.6666666666666666,1.0
180000,1.4207544,1223.5,0.34153873,-1.0,-1.0,1.0
190000,1.4206747,1200.0,0.29554614,-0.2,-0.2,1.0
200000,1.420597,921.3333333333334,0.18656114,0.3333333333333333,0.3333333333333333,1.0
210000,1.4188384,None,0.18059361,None,None,1.0
220000,1.4149058,None,0.17543133,None,None,1.0
230000,1.4102863,None,0.15683964,None,None,1.0
240000,1.4058112,3074.0,0.14314598,1.0,1.0,1.0
250000,1.4013599,None,0.13316464,None,None,1.0
260000,1.3969231,None,0.1313932,None,None,1.0
270000,1.3910286,None,0.121038266,None,None,1.0
280000,1.3869263,None,0.11141783,None,None,1.0
290000,1.3844275,None,0.10862622,None,None,1.0
300000,1.3813269,None,0.10160506,None,None,1.0
310000,1.3764268,None,0.09819435,None,None,1.0
320000,1.3730251,None,0.08158279,None,None,1.0
330000,1.3699579,11015.0,0.08728158,-1.0,-1.0,1.0
