Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,1.4291573,4.9500375,104.38235294117646,-0.9705882352941176,-0.9705882352941176,1.0
50000,1.4302328,5.2720675,111.0909090909091,-0.9886363636363636,-0.9886363636363636,1.0
60000,1.4328095,5.014065,112.88235294117646,-0.9647058823529412,-0.9647058823529412,1.0
70000,1.4351996,5.3925443,106.96938775510205,-0.9897959183673469,-0.9897959183673469,1.0
80000,1.4387736,4.855848,110.82222222222222,-1.0,-1.0,1.0
90000,1.4401193,4.9031725,102.29473684210527,-0.968421052631579,-0.968421052631579,1.0
100000,1.4400438,4.4868617,106.29032258064517,-0.989247311827957,-0.989247311827957,1.0
110000,1.4419675,4.067976,107.2840909090909,-0.9772727272727273,-0.9772727272727273,1.0
120000,1.4442354,3.4836771,118.91764705882353,-0.9764705882352941,-0.9764705882352941,1.0
130000,1.4450936,3.5591688,126.5875,-1.0,-1.0,1.0
140000,1.4476798,3.657357,103.58426966292134,-0.9888888888888889,-0.9888888888888889,1.0
150000,1.4511358,3.1711423,125.6987951807229,-0.9518072289156626,-0.9518072289156626,1.0
160000,1.4552596,3.236775,113.22077922077922,-0.9615384615384616,-0.9615384615384616,1.0
170000,1.459198,2.8134325,128.9431818181818,-0.9885057471264368,-0.9885057471264368,1.0
180000,1.459567,2.9011903,117.89156626506023,-0.9634146341463414,-0.9634146341463414,1.0
190000,1.4597455,2.72414,134.40625,-0.9393939393939394,-0.9393939393939394,1.0
200000,1.4613224,2.6880407,142.73529411764707,-0.9411764705882353,-0.9411764705882353,1.0
210000,1.4631077,2.8187292,166.96491228070175,-0.9464285714285714,-0.9464285714285714,1.0
220000,1.4654877,2.374085,173.72727272727272,-0.9552238805970149,-0.9552238805970149,1.0
230000,1.464205,1.7687191,133.5211267605634,-0.9583333333333334,-0.9583333333333334,1.0
240000,1.462923,2.3256834,124.06172839506173,-0.9753086419753086,-0.9753086419753086,1.0
250000,1.4612187,2.03851,116.46666666666667,-0.9666666666666667,-0.9666666666666667,1.0
260000,1.461222,2.1036577,117.3875,-0.95,-0.95,1.0
270000,1.4612912,1.7904307,115.31818181818181,-0.9550561797752809,-0.9550561797752809,1.0
280000,1.4629763,1.2901475,110.61538461538461,-0.9565217391304348,-0.9565217391304348,1.0
290000,1.462932,1.153112,127.51948051948052,-0.974025974025974,-0.974025974025974,1.0
300000,1.4617947,1.1396483,110.79120879120879,-0.9782608695652174,-0.9782608695652174,1.0
310000,1.4603378,1.0408491,116.9493670886076,-0.9746835443037974,-0.9746835443037974,1.0
320000,1.459685,0.680658,125.84210526315789,-0.9605263157894737,-0.9605263157894737,1.0
330000,1.4590327,0.5369091,133.82191780821918,-0.9722222222222222,-0.9722222222222222,1.0
340000,1.4578407,0.39185697,133.93243243243242,-0.96,-0.96,1.0
350000,1.4572905,0.07064735,128.42168674698794,-0.926829268292683,-0.926829268292683,1.0
360000,1.4565692,-0.016339827,118.6025641025641,-0.9873417721518988,-0.9873417721518988,1.0
370000,1.4555942,-0.2218796,139.8923076923077,-0.90625,-0.90625,1.0
