Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,1.4261901,73.9090909090909,1161.0453165413758,2.0747187,-0.9868421052631579,-0.9868421052631579,1.0
40000,1.4281836,75.40944881889764,1058.726279447042,1.9598979,-0.9765625,-0.9765625,1.0
50000,1.4315102,80.9430894308943,933.6460589018178,2.092256,-0.9596774193548387,-0.9596774193548387,1.0
60000,1.4335712,71.43165467625899,803.0741070955738,1.9425725,-0.9496402877697842,-0.9496402877697842,1.0
70000,1.4343243,71.2279411764706,667.1402903986934,1.9622716,-0.9708029197080292,-0.9708029197080292,1.0
80000,1.4345431,73.56296296296296,535.9312711316376,1.5979452,-0.9552238805970149,-0.9552238805970149,1.0
90000,1.4348555,76.46456692913385,413.185087644081,1.5078512,-0.8828125,-0.8828125,1.0
100000,1.4347775,82.675,303.89000410222275,1.3809056,-0.9416666666666667,-0.9416666666666667,1.0
110000,1.434804,71.203125,203.30966931460802,1.384535,-1.0,-1.0,1.0
120000,1.4344106,79.8225806451613,113.06912709765018,1.2543408,-0.9523809523809523,-0.9523809523809523,1.0
130000,1.4335425,87.6875,45.371736286693476,1.1137875,-0.9375,-0.9375,1.0
140000,1.4317406,112.89473684210526,-0.7229515010293518,1.1171025,-0.948051948051948,-0.948051948051948,1.0
150000,1.4308195,131.5268817204301,-40.82295949664754,1.0175644,-0.9787234042553191,-0.9787234042553191,1.0
160000,1.4301175,84.06315789473685,-79.92648471661776,0.99681723,-0.9368421052631579,-0.9368421052631579,1.0
170000,1.4302536,120.6842105263158,-108.01541065634163,1.1272981,-0.8571428571428571,-0.8571428571428571,1.0
180000,1.4298916,180.9433962264151,-126.58430929304514,1.1050885,-0.8333333333333334,-0.8333333333333334,1.0
190000,1.4283999,142.97826086956522,-142.38076840771336,1.0519975,-0.7659574468085106,-0.7659574468085106,1.0
200000,1.4288946,303.7931034482759,-153.76686010126315,1.121284,-0.8620689655172413,-0.8620689655172413,1.0
210000,1.4289768,90.26923076923077,-165.30120968916765,0.53632474,-0.8076923076923077,-0.8076923076923077,1.0
220000,1.4281827,131.625,-173.55498806141827,1.0801547,-0.75,-0.75,1.0
230000,1.4267011,384.0,-175.29936898121323,1.0347847,-0.4,-0.4,1.0
240000,1.4255868,1557.0,-176.10023265190947,0.99386007,-1.0,-1.0,1.0
250000,1.4246361,534.0,-176.76511894056316,0.8745226,-0.25,-0.25,1.0
260000,1.4237882,385.0,-177.42851275067838,0.8629089,1.0,1.0,1.0
270000,1.4224755,None,None,0.79984784,None,None,1.0
280000,1.420907,None,None,0.7105173,None,None,1.0
290000,1.4192991,None,None,0.6274656,None,None,1.0
300000,1.417421,None,None,0.55276674,None,None,1.0
310000,1.4165002,129.22222222222223,-178.7483833038368,0.15532635,-0.8888888888888888,-0.8888888888888888,1.0
320000,1.4151905,None,None,0.27878255,None,None,1.0
330000,1.4138529,None,None,0.25302717,None,None,1.0
340000,1.4126803,1601.0,-180.06285633523115,0.23636588,-1.0,-1.0,1.0
350000,1.4119844,None,None,0.22293472,None,None,1.0
360000,1.4112043,None,None,0.2059335,None,None,1.0
370000,1.4101182,None,None,0.19611026,None,None,1.0
380000,1.4089147,None,None,0.17863026,None,None,1.0
390000,1.4076563,None,None,0.16982342,None,None,1.0
400000,1.4067578,None,None,0.15493332,None,None,1.0
410000,1.4064698,227.16666666666666,-180.97753445962533,0.0071356385,-0.8333333333333334,-0.8333333333333334,1.0
420000,1.4066316,437.5,-181.51940418265946,0.086796924,1.5,1.5,1.0
430000,1.4068422,None,None,0.0779318,None,None,1.0
440000,1.4068527,None,None,0.08280228,None,None,1.0
450000,1.4066321,None,None,0.07687945,None,None,1.0
460000,1.4061289,1458.5,-181.5400777821685,0.071340136,0.5,0.5,1.0
470000,1.4058901,215.0,-182.0601513867432,0.06650549,0.0,0.0,1.0
480000,1.4057713,None,None,0.07343222,None,None,1.0
490000,1.405688,None,None,0.07033951,None,None,1.0
500000,1.4056593,None,None,0.063698664,None,None,1.0
